"","pair","reverse_sent_order","sentence1","sentence2","modal1","modal2","rating1","rating2","rating_other","percentage_blue","color","xxx","catch_trial","catch_trial_answer_correct","speaker","condition","phase","language","gender","age","misread_instructions","trial","subjectid","date"
"76","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0,0,1,100,"blue",1,1,1,"f","confident_m","pre_exposure","English","f",19,0,3,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"77","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0,0,1,100,"orange",1,0,-1,"m","confident_m","pre_exposure","English","f",19,0,4,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"78","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0,0,1,0,"blue",1,1,1,"f","confident_m","pre_exposure","English","f",19,0,5,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"79","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0,0,1,100,"orange",1,0,-1,"f","confident_m","pre_exposure","English","f",19,0,6,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"80","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0,0,1,100,"blue",1,1,1,"m","confident_m","pre_exposure","English","f",19,0,7,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"81","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.21,0.79,0,25,"orange",1,0,-1,"m","confident_m","pre_exposure","English","f",19,0,8,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"82","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.59,0.41,0,60,"blue",1,0,-1,"f","confident_m","pre_exposure","English","f",19,0,9,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"83","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.21,0,0.79,10,"blue",1,0,-1,"f","confident_m","pre_exposure","English","f",19,0,10,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"84","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0,0,1,0,"orange",1,0,-1,"f","confident_m","pre_exposure","English","f",19,0,11,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"85","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.28,0.72,0,10,"orange",1,0,-1,"f","confident_m","pre_exposure","English","f",19,0,12,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"86","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.33,0,0.67,25,"blue",1,0,-1,"f","confident_m","pre_exposure","English","f",19,0,13,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"87","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.9,0.1,0,50,"orange",1,1,1,"f","confident_m","pre_exposure","English","f",19,0,14,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"88","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.16,0.84,0,90,"blue",1,1,1,"f","confident_m","pre_exposure","English","f",19,0,15,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"89","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0,0,1,0,"blue",1,0,-1,"m","confident_m","pre_exposure","English","f",19,0,16,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"90","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.09,0.91,0,10,"orange",1,0,-1,"m","confident_m","pre_exposure","English","f",19,0,17,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"91","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",1,0,0,60,"orange",1,1,1,"f","confident_m","pre_exposure","English","f",19,0,18,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"92","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0,0,1,0,"orange",1,0,-1,"m","confident_m","pre_exposure","English","f",19,0,19,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"93","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0,1,0,90,"blue",1,1,1,"m","confident_m","pre_exposure","English","f",19,0,20,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"94","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",1,0,0,60,"orange",1,0,-1,"m","confident_m","pre_exposure","English","f",19,0,21,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"95","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.27,0.73,0,40,"orange",1,1,1,"m","confident_m","pre_exposure","English","f",19,0,22,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"96","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.11,0.89,0,25,"orange",1,0,-1,"f","confident_m","pre_exposure","English","f",19,0,23,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"97","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",1,0,0,40,"blue",1,0,-1,"m","confident_m","pre_exposure","English","f",19,0,24,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"98","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.5,0.5,0,50,"blue",1,0,-1,"m","confident_m","pre_exposure","English","f",19,0,25,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"99","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.51,0.49,0,60,"blue",1,0,-1,"m","confident_m","pre_exposure","English","f",19,0,26,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"100","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.21,0.79,0,75,"blue",1,0,-1,"m","confident_m","pre_exposure","English","f",19,0,27,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"101","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.8,0.2,0,50,"orange",1,0,-1,"m","confident_m","pre_exposure","English","f",19,0,28,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"102","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",1,0,0,75,"orange",1,0,-1,"m","confident_m","pre_exposure","English","f",19,0,29,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
